EunisCode,EunisName
A3.1,Atlantic and Mediterranean high energy infralittoral rock
A3.11,Kelp with cushion fauna and/or foliose red seaweeds
A3.7,Features of infralittoral rock
A3.71,Robust faunal cushions and crusts in surge gullies and caves 
A4.1,Atlantic and Mediterranean high energy circalittoral rock
A4.7,Features of circalittoral rock
A4.71,Communities of circalittoral caves and overhangs
A4.711,"Sponges, cup corals and anthozoans on shaded or overhanging circalittoral rock"
A5.1,Sublittoral coarse sediment 
A5.13,Infralittoral coarse sediment 
A5.14,Circalittoral coarse sediment
A5.23,Infralittoral fine sand
A5.25,Circalittoral fine sand
A5.3,Sublittoral mud
A5.4,Sublittoral mixed sediments
A5.44,Circalittoral mixed sediments 
